node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.839953,160.046681,0.550866,0.0
1,7,99999.839947,160.053351,0.442982,0.0
1,16,99999.799933,200.06669,0.374794,0.0
2,4,99999.799917,200.083368,0.67091,0.0
2,7,99999.799925,200.075028,0.666618,0.0
2,12,99999.799925,200.075028,0.553131,0.0
2,13,99999.799925,200.075028,0.610352,0.0
2,18,24999.799917,200.083368,0.657678,0.0
2,23,24999.799925,200.075028,0.702143,0.0
3,10,99999.839953,160.046681,0.463128,0.0
3,11,24999.839947,160.053352,0.604749,0.0
3,14,1549.83996,160.04001,0.677586,0.0
3,21,99999.799933,200.06669,0.637054,0.0
4,16,99999.799917,200.083368,0.750661,0.0
5,8,24999.799933,200.066689,0.728726,0.0
5,16,24999.799925,200.075028,0.635862,0.0
6,7,1549.799942,200.058351,0.37396,0.0
6,19,1549.83998,160.020005,0.60761,0.0
7,17,99999.799925,200.075028,0.516534,0.0
7,19,24999.799967,200.033344,0.34368,0.0
7,21,99999.799925,200.075028,0.678778,0.0
8,9,24999.83994,160.060023,0.466108,0.0
9,15,24999.83994,160.060023,0.407815,0.0
9,16,99999.839933,160.066694,0.530124,0.0
10,11,24999.83994,160.060023,0.501394,0.0
10,12,99999.799933,200.066689,0.520706,0.0
10,16,99999.799925,200.075028,0.687838,0.0
10,17,99999.799925,200.075028,0.691056,0.0
12,22,99999.799925,200.075028,0.456691,0.0
13,14,1549.839953,160.046681,0.914931,0.0
13,17,99999.799925,200.075028,0.765681,0.0
13,19,24999.839973,160.026676,0.604749,0.0
15,20,24999.799933,200.066689,0.894785,0.0
17,20,99999.799925,200.075028,0.694036,0.0
17,23,24999.799925,200.075028,0.609875,0.0
18,21,24999.799917,200.083368,0.537753,0.0
20,22,24999.799925,200.075028,0.694156,0.0
